rank,cum_expected_profit
1,22.993168419957886
2,45.983059929934015
3,68.96951243465733
4,91.95405051935224
5,114.93827701801212
6,137.91986232182876
7,160.8991455815937
8,183.8775750057514
9,206.85352985926247
10,229.82944381637344
11,252.8047697384353
12,275.77711561643287
13,298.7416694074614
14,321.70349081584925
15,344.66458016205246
16,367.62531506853276
17,390.58376575460863
18,413.53444884752946
19,436.47798358035965
20,459.42117935523567
21,482.3620916808325
22,505.30290353389444
23,528.2411659438832
24,551.1762977114486
25,574.110972838634
26,597.0447145405547
27,619.9759574317569
28,642.8932825440689
29,665.8103909735643
30,688.723059950561
31,711.6277594246691
32,734.5287241215938
33,757.4263259229492
34,780.3209344097194
35,803.2101774399378
36,826.0906486651689
37,848.9695889859355
38,871.8419088359877
39,894.7141612548777
40,917.5837126867723
41,940.450507528459
42,963.3163607529785
43,986.1775017675789
44,1009.0370758840171
45,1031.891769235815
46,1054.7462169098003
47,1077.5959103049765
48,1100.444361346389
49,1123.2884699687704
50,1146.131763823414
51,1168.9642827401567
52,1191.7927940774096
53,1214.6202306138516
54,1237.4457824065248
55,1260.2443895789215
56,1283.0370361337548
57,1305.8165766339482
58,1328.583965026403
59,1351.3484074980088
60,1374.1097072535028
61,1396.846451776466
62,1419.5631128045175
63,1442.2637124109488
64,1464.9555270169883
65,1487.6470854463162
66,1510.3372471391237
67,1533.0269649004192
68,1555.7123061045418
69,1578.3927515332325
70,1601.073167972052
71,1623.748386168538
72,1646.4195048792103
73,1669.0829907491104
74,1691.742268539717
75,1714.395252034672
76,1737.0455518278502
77,1759.6893502546393
78,1782.3292751803854
79,1804.951883127933
80,1827.5635608092336
81,1850.1747500995932
82,1872.7798216712874
83,1895.3777089641117
84,1917.9649335620898
85,1940.5332755185675
86,1963.1012935692404
87,1985.6638952205042
88,2008.199792692294
89,2030.7302238331524
90,2053.2602742343843
91,2075.744298810487
92,2098.2246153823094
93,2120.7005361966794
94,2143.1541720260534
95,2165.606697104904
